"idloc","ropamujer"
1025,251711133.801268
1026,203558589.283611
1033,191547468.444491
1035,196164584.404302
1038,181787222.905118
1039,271436306.862818
1040,199453398.978619
1048,168563845.021191
1074,139357832.861816
1078,286145085.367462
1079,210467145.784735
1085,264075032.861693
1093,208143075.89407
1096,222961643.594083
1099,163146793.207408
1101,227691588.336998
1102,190420953.766769
1104,248124459.301196
1105,159529919.618708
1121,263355390.429706
1137,243567655.6676
1141,196537064.214055
1143,248978022.78813
1146,172985484.596466
1151,217059097.377742
1161,256486476.455773
1163,181746231.424659
1166,258299480.351093
1171,255049171.694146
1177,215825430.530651
1179,243202822.941225
1183,197838806.17898
1188,163541419.907408
1200,163227228.674654
1201,210660929.725733
1203,284877308.799529
1207,178420682.625848
1213,271095530.183089
1215,212015055.457948
1216,193949981.034125
1218,262176091.248841
1228,163067111.848018
1230,186981708.412677
1231,155934099.188889
1234,209876905.234173
1236,214444643.411491
1238,264446514.078616
1255,199435456.487674
1257,194923777.928801
1261,249116272.143643
1262,199096427.591787
1264,155843791.931994
1277,262085548.287303
1278,226309851.348164
1284,232740118.589041
1291,233791304.208027
1293,181812814.816695
1295,255110991.389137
1297,234416864.206928
1307,172817417.584487
1311,169017507.546639
1322,263807311.6135
1325,214171114.050699
1326,250555813.662543
1329,162667873.255894
1333,231981595.72654
1334,191046468.677672
1340,173787270.491908
1353,165436112.32151
1357,152066644.71708
1362,223575486.810757
1368,260974206.401223
1369,252939212.044311
1372,255430301.345449
1392,233404554.753063
1397,221202089.824886
1415,273367403.992955
1419,194006105.018054
1421,276543163.876523
1426,156956339.806574
1432,209750112.887302
1434,222861380.883383
1441,244100355.951558
1453,194703586.450428
1457,200786383.080598
1458,244045375.866374
1460,204695859.087925
1471,266754974.433731
1474,159439747.063388
1476,151236746.746351
1478,250548877.879719
1480,235527787.149063
1485,249656139.258383
1511,178527243.213415
1538,237315701.978986
1540,237074586.001554
1544,301864150.479223
1549,227062397.688575
1563,191334755.309653
1574,269470457.662159
1576,227978726.012996
1577,229277817.733718
1586,187669997.001469
1587,231527383.578763
1595,244321738.404167
1598,170066880.924905
1601,255186746.842357
1604,207385650.007889
1607,238997489.121511
1608,207487805.947091
1610,272072726.475023
1612,200362700.330748
1619,186515754.764854
1623,254910980.637951
1624,218889822.423057
1633,278313365.821537
1635,256747686.489827
1639,248131477.153264
1653,187552855.863288
1668,237428611.729642
1669,195686205.513561
1671,194889901.863172
1676,210422083.177562
1679,237704081.92505
1681,211971346.667174
1682,223025658.936717
1689,235162463.072273
1692,211543035.532764
1694,160153328.132332
1696,280108804.619134
1707,225870326.94325
1711,272410611.933182
1717,272124815.365121
1720,263648377.23238
1721,212928340.333681
1722,233867332.806744
1726,177267264.280472
1727,197984748.053051
1733,220153328.876701
1736,262793158.823494
1737,243604354.402871
1743,200765994.476834
1744,197016379.892418
1750,150486695.109729
1755,157823127.501431
1760,223669779.763291
1764,202269171.947439
1766,186197649.754761
1767,278935962.023669
1781,251530411.147559
1784,192162722.645871
1793,260772890.370106
1797,260030869.755736
1800,206459478.441951
1801,191659301.785968
1806,213741504.339582
1812,171338368.849138
1816,248760662.467033
1817,211003003.002764
1820,157489608.768677
1826,192348025.408879
1829,235400083.033217
1832,228688073.157474
1837,227125246.330785
1842,163445487.798589
1844,213908731.30098
1851,258035874.530797
1857,186823431.511989
1862,276298485.897769
1863,199729974.699565
1864,203270787.708612
1866,267467397.629359
1867,233584434.730771
1869,286551805.638971
1875,280397544.540039
1880,171905529.206974
1911,276529707.769342
1912,207722954.094531
1923,225783594.510495
1928,215815003.043693
1933,167206847.931608
1934,253238057.777215
1935,251973620.726148
1936,185729444.941706
1938,260337998.857372
1945,189583299.50631
1948,198883652.770494
1955,253105273.953227
1957,193184930.46332
1958,206794359.741304
1973,185857840.364491
1974,218861939.683966
1982,185051780.509541
1993,201921581.487014
1996,189734353.507439
1997,158098080.328918
1999,244033531.722195
2000,203954275.33749
