"idloc","ropamujer"
1228,40581.8761081809
1230,38149.7925652443
1231,34823.347549622
1234,64782.8414869615
1236,37936.0985943616
1238,65698.8097290881
1255,48497.2640077268
1257,38892.1498898953
1261,50071.653178693
1262,43304.146867201
1264,41743.4624668696
1277,52364.6386074457
1278,50617.3571784341
1284,69547.5080365334
1291,62938.0426483785
1293,54565.1753455022
1295,75980.9521318608
1297,45278.5436379986
1307,25047.1837111352
1311,38419.8029381356
1322,57889.6081928512
1325,39039.3152535399
1326,63115.1821273861
1329,48439.804877447
1333,71971.6680502428
1334,39140.255941671
1340,57459.5567246527
1353,40632.5602770378
1357,27040.1611688117
1362,67476.2676756259
1368,46446.357751294
1369,51672.8582350006
1372,46586.0392942476
1392,56693.4530772403
1397,59902.8811519713
1415,57896.6127524197
1419,48649.3077590978
1421,60279.5726455685
1426,42268.8489094698
1432,30798.2838468943
1434,54386.6007552259
1441,79003.7538622672
1453,37441.8538301466
1457,38827.6044379896
1458,40295.8190619096
1460,57460.2557487046
1471,74981.9885601583
1474,36422.2439721798
1476,30892.0036937366
1478,49059.2530622781
1480,37331.2243110466
1485,69548.4041949645
1511,52639.9210852768
1538,57158.981923416
1540,46380.3668442753
1544,73719.5682523175
1549,43093.066280913
1563,41228.9722730678
1574,68294.509049108
1576,76722.6309092207
1577,66067.5249889699
1586,40407.2933413395
1587,59242.7520216659
1595,62790.9853277201
1598,34620.4983232296
1601,58426.8406841698
1604,47004.3299066429
1607,48250.4179063928
1608,47479.8816967215
1610,73749.0022144451
1612,51298.4395822597
1619,56663.6947178086
1623,80113.1271208551
1624,63431.8660471517
1633,67609.700168324
1635,67905.4372973099
1639,77108.9247510229
1653,30264.1408289229
1668,46673.1194978376
1669,34902.3263835189
1671,55842.3618285239
1676,52121.5990771167
1679,59368.6476711564
1681,58670.561372177
1682,37786.4868979894
1689,68653.8751669756
1692,47762.3056217033
1694,44470.4485830194
1696,65130.8717574719
1707,41011.4376462149
1711,55862.3781859765
1717,56907.3796960151
1720,55335.0375625865
1721,50175.6937321897
1722,66256.6542337651
1726,46210.8502943437
1727,51972.9229270958
1733,38432.6306532731
1736,72328.7944006534
1737,48854.8363305971
1743,50971.7777471904
1744,36010.5285809869
1750,28512.138318139
1755,29328.0456357184
1760,67464.3531474758
1764,44553.0933651957
1766,66760.8645832063
1767,53395.9515990688
1781,58263.2381257812
1784,34404.4696981203
1793,48818.5832680542
1797,40170.1187064299
1800,37914.5867364165
1801,50064.8439335535
1806,47093.2206969778
1812,38266.2715727996
1816,39947.0744143279
1817,40899.7023931952
1820,46219.1952747436
1826,57357.2932613116
1829,44722.0405031153
1832,41658.3690338789
1837,46321.9532895051
1842,40523.1987953379
1844,60479.7003497574
1851,67803.1106951582
1857,35846.4769460161
1862,74296.3505836715
1863,38543.3859157476
1864,38091.8985367612
1866,46301.7879434103
1867,50128.3722710947
1869,51453.581913799
1875,50376.3065862013
1880,35095.6298312174
1911,54105.2301607787
1912,41589.5190022211
1923,55922.2631263656
1928,41004.0181868296
1933,29694.5278162679
1934,53528.5465254955
1935,54656.8098901518
1936,60844.2054677582
1938,66536.3659950489
1945,33310.9595230682
1948,55839.379447867
1955,53932.3124626782
1957,35134.5070305764
1958,71543.3986145517
1973,63024.0149336609
1974,54553.0983488164
1982,35891.0190724291
1993,52387.5105172918
1996,55338.3627034563
1997,32490.4156930427
1999,53693.5034775524
2000,50506.2820415145
